shot_id,dose_rate,diode_type,impedance,pcd_fwhm_ns,notes
27271,1.28e10,SMAJ400A,high impedance,40.8,generalized
27272,1.28e10,SMAJ400A,81.3 ohm,41.2,generalized
27273,1.25e10,SMAJ400A,81.3 ohm,38.9,generalized
27274,1.19e10,SMAJ400A,high impedance,41.9,
27275,1.10e10,SMAJ400A,81.3 ohm,43.7,
27276,1.40e10,SMAJ400A,81.3 ohm,39.7,generalized
27277,1.06e10,SMAJ400A,81.3 ohm,41.1,generalized
27278,1.16e10,SMAJ400A,81.3 ohm,45.3,generalized
27279,6.22e10,SMAJ400A,81.3 ohm,41.6,generalized
27280,5.63e10,SMAJ400A,high impedance,44.4,generalized
27282,6.41e10,SMAJ400A,high impedance,42.9,generalized
27283,8.11e10,SMAJ400A,high impedance,38.5,generalized
27284,5.11e10,SMAJ400A,81.3 ohm,43.9,
27285,4.86e10,SMAJ400A,high impedance,41.3,generalized
27286,4.74e11,SMAJ400A,81.3 ohm,41.2,
27287,6.25e11,SMAJ400A,high impedance,44.3,
27288,6.02e11,SMAJ400A,81.3 ohm,41.1,generalized
27289,5.59e11,SMAJ400A,high impedance,41.2,
27290,1.22e10,MMSZ5226BT1G,81.3 ohm,39.6,generalized
27291,9.31e9,MMSZ5226BT1G,high impedance,39.7,generalized
27292,8.82e9,MMSZ5226BT1G,81.3 ohm,41.2,
27293,9.38e9,MMSZ5226BT1G,high impedance,40.1,
27294,5.43e10,MMSZ5226BT1G,81.3 ohm,43.6,generalized
27295,5.44e10,MMSZ5226BT1G,high impedance,42.4,
27296,4.81e11,MMSZ5226BT1G,50 ohm,42.5,generalized
27297,6.10e11,MMSZ5226BT1G,high impedance,41,
27298,1.21e10,CSD01060E,50 ohm,40.5,generalized
27299,1.05e10,CSD01060E,50 ohm,40.1,generalized
27300,5.22e10,CSD01060E,50 ohm,41.7,generalized
27301,5.46e11,CSD01060E,50 ohm,42.7,generalized
27302,8.88e11,CSD01060E,50 ohm,44,generalized
27303,1.01e10,1N6517US,50 ohm,39.9,generalized
27304,6.23e10,1N6517US,50 ohm,42.4,generalized
27305,5.56e11,1N6517US,50 ohm,41.7,generalized
27306,1.15e10,SMAJ400A,50 ohm,,generalized
27307,5.09e11,SMAJ400A,50 ohm,,generalized
