testname,time_scale,voltage_scale,time_shift,peak_scale,active_offset,tail_offset,bottom_offset,late_peak_scale,notes
27271,1,-1.35,0,1,0,0,0,1,"3.57e-6 end, -1.35 vol default, likely needs Xyce circuit changes to bring tail up"
27272,1,1,0,1,0,0,0,1,
27273,1,-0.012,0.5e-7,1,0,0,0,1,"2.66e-7 end"
27274,1,1,0,1,0,0,0,1,
27275,1,-0.0125,-2.5e-9,1,0,0,0,1,"2.25e-7 end"
27276,0.9,-0.325,21.0e-9,1,0,0,0,1,
27277,1,-1,4.0e-9,1,0,0,0,1,
27278,1,1,0,1,0,0,0,1,
27279,1,1,0,1,0,0,0,1,
27280,1,1,0,1,0,0,0,1,
27282,1,1,0,1,0,0,0,1,
27283,1,1,0,1,0,0,0,1,
27284,1,1,0,1,0,0,0,1,
27285,1,1,0,1,0,0,0,1,
27286,1,1,0,1,0,0,0,1,
27287,1,1,0,1,0,0,0,1,
27288,1,1,0,1,0,0,0,1,
27289,1,1,0,1,0,0,0,1,
27290,1,1,0,1,0,0,0,1,"done"
27291,1,1.1,2.15e-7,1,0,0,0,1,"done"
27294,1,1,0,1,0,0,0,1,"done"
27295,0.92,-0.101,2.2e-7,1.3,0,-50e-3,0,1,"end at 4.65e-7"
27296,1,1,0,1,0,0,0,1,"done"
27297,1,1,0,1,0,0,0,1,"come back to later when lovejoy responds"
27298,1,1,0,1,0,0,0,1,
27299,1,1,0,1,0,0,0,1,
27300,1,1,0,1,0,0,0,1,
27301,1,1,0,1,0,0,0,1,"model"
27302,1,1,0,1,0,0,0,1,
27303,1,1,0,1,0,0,0,1,"skip for now, dont have diode"
27304,1,1,0,1,0,0,0,1,"skip for now, dont have diode"
27305,1,1,0,1,0,0,0,1,"skip for now, dont have diode"
27306,1.5,-1,6.908e-05,1,0,0,0,1,"had to change on bruteForce waveform"
27307,1,1,0,1,0,0,0,1,"done"
